audit_id,session_id,operator,start_time,end_time,duration_seconds,predicted_label,confidence,detection_method,evidence,screenshot_reference,reviewer,audit_decision,verified_label,audit_notes
AUDIT-B-015,ses_20260701-173642-NEELA9BAF,user_b_03,2026-07-01T17:36:53Z,2026-07-01T17:37:31Z,37.3,resident_tax_confirmation,0.98,hybrid_neural_symbolic,url:/payroll-items;url:/leave-applications;url:/social-insurance;url:/resident-tax;button:rt-note,scr_smart_1782927411904_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,resident_tax_confirmation,Confirmed resident_tax_confirmation route navigation and corresponding document checklist verification.
AUDIT-B-016,ses_20260701-173642-NEELA9BAF,user_b_03,2026-07-01T17:39:44Z,2026-07-01T17:39:54Z,9.4,inventory_order_management,0.6,window_context,title:受発注在庫管理システム;title:在庫調整メモ,scr_smart_1782927584747_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CORRECTED,inventory_order_management,Boundary trimmed: initial 3 seconds were idle desktop transition.
AUDIT-B-017,ses_20260701-173642-NEELA9BAF,user_b_03,2026-07-01T17:40:32Z,2026-07-01T17:40:38Z,6.5,social_insurance_correction,0.95,dom_action_anchor,url:/social-insurance;button:si-note,scr_smart_1782927632290_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,social_insurance_correction,Confirmed pension correction workflow on #/social-insurance portal view.
AUDIT-B-018,ses_20260701-173642-NEELA9BAF,user_b_03,2026-07-01T17:41:55Z,2026-07-01T17:44:10Z,135.2,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;button:pi-note;button:btn-pi-ok;doc:getsujitsu_teigaku_torihikisaki_ichiran;title:expense_calc,scr_smart_1782927715148_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-019,ses_20260701-175258-LAPTOP-76QMG9DE,user_b_04,2026-07-01T17:54:20Z,2026-07-01T17:56:06Z,105.5,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;title:給与;button:pi-note;button:btn-pi-ok;doc:gyomu_itaku_keihi_kitei,scr_smart_1782928460794_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-020,ses_20260701-175258-LAPTOP-76QMG9DE,user_b_04,2026-07-01T17:56:31Z,2026-07-01T17:57:30Z,58.9,onboarding_verification,0.95,dom_action_anchor,url:/onboarding;button:ob-note;button:btn-ob-ok;doc:gyomu_itaku_ukeire;doc:gyomu_itaku_kyuuyo_kitei,scr_smart_1782928591190_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
AUDIT-B-021,ses_20260701-175258-LAPTOP-76QMG9DE,user_b_04,2026-07-01T17:59:48Z,2026-07-01T18:00:50Z,61.5,expense_settlement_approval,0.95,dom_action_anchor,url:/leave-applications;doc:gyomu_itaku_ukeire;doc:gyomu_itaku_keihi_kitei;button:la-note;button:btn-la-ok,scr_smart_1782928788166_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,expense_settlement_approval,Confirmed expense_settlement_approval route navigation and corresponding document checklist verification.
AUDIT-B-022,ses_20260701-175258-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:01:38Z,2026-07-01T18:05:19Z,221.3,payroll_deduction_adjustment,0.85,url_route_anchor,title:給与;doc:gyomu_itaku_keihi_kitei;doc:nyusha_checklist;url:/payroll-items;doc:getsujitsu_teigaku_torihikisaki_ichiran,scr_smart_1782928898329_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-023,ses_20260701-175747-SIDDHIGUPTAB00B,user_b_02,2026-07-01T18:05:55Z,2026-07-01T18:06:46Z,51.3,payroll_deduction_adjustment,0.95,dom_action_anchor,title:給与;url:/payroll-items;button:pi-note;button:btn-pi-ok,scr_smart_1782929155041_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-024,ses_20260701-180923-NEELA9BAF,user_b_03,2026-07-01T18:14:28Z,2026-07-01T18:15:03Z,34.9,onboarding_verification,0.8,document_context,title:給与;doc:nyusha_checklist;url:/onboarding;doc:gyomu_itaku_keihi_kitei;doc:gyomu_itaku_ukeire;button:ob-note,scr_smart_1782929668178_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
AUDIT-B-025,ses_20260701-180923-NEELA9BAF,user_b_03,2026-07-01T18:15:18Z,2026-07-01T18:15:51Z,32.7,resident_tax_confirmation,0.95,dom_action_anchor,url:/resident-tax;button:rt-note;button:btn-rt-ok,scr_smart_1782929718383_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,resident_tax_confirmation,Confirmed resident_tax_confirmation route navigation and corresponding document checklist verification.
AUDIT-B-026,ses_20260701-180923-NEELA9BAF,user_b_03,2026-07-01T18:15:59Z,2026-07-01T18:17:07Z,68.0,expense_settlement_approval,0.95,dom_action_anchor,url:/leave-applications;button:la-note;button:btn-la-ok;doc:gyomu_itaku_keihi_kitei;doc:settai_keihi_kitei,scr_smart_1782929759512_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,expense_settlement_approval,Confirmed expense_settlement_approval route navigation and corresponding document checklist verification.
AUDIT-B-027,ses_20260701-180923-NEELA9BAF,user_b_03,2026-07-01T18:17:07Z,2026-07-01T18:17:27Z,19.5,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;title:給与;button:pi-note;button:btn-pi-ok,scr_smart_1782929827434_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-028,ses_20260701-181413-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:14:13Z,2026-07-01T18:14:26Z,13.1,payroll_deduction_adjustment,0.6,window_context,title:給与,scr_smart_1782929658533_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED_WITH_REMARKS,payroll_deduction_adjustment,Boundary confirmed via window title change; subtle background Slack notification interleaved.
AUDIT-B-029,ses_20260701-181413-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:17:30Z,2026-07-01T18:18:11Z,41.3,leave_application_processing,0.8,document_context,title:受発注在庫管理システム;doc:keiyaku_kaijo_tetsuzuki;url:/leave-applications;doc:shinkuitorihikisaki_touroku;button:la-note,scr_smart_1782929850002_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-030,ses_20260701-181413-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:21:34Z,2026-07-01T18:21:46Z,11.8,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,scr_smart_1782930094226_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CORRECTED,inventory_order_management,Boundary trimmed: initial 3 seconds were idle desktop transition.
AUDIT-B-031,ses_20260701-181413-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:25:57Z,2026-07-01T18:27:18Z,81.1,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;doc:keiyaku_kaijo_tetsuzuki;doc:getsujitsu_teigaku_torihikisaki_ichiran;button:pi-note;button:btn-pi-ok,scr_smart_1782930356908_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-032,ses_20260701-181913-SIDDHIGUPTAB00B,user_b_02,2026-07-01T18:24:45Z,2026-07-01T18:26:20Z,95.8,leave_application_processing,0.77,url_route_anchor,url:/leave-applications;doc:shinkui_keiyaku;title:受発注在庫管理システム;doc:keiyaku_kaijo_tetsuzuki;doc:shinkuitorihikisaki_touroku,scr_smart_1782930284936_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-033,ses_20260701-181913-SIDDHIGUPTAB00B,user_b_02,2026-07-01T18:26:58Z,2026-07-01T18:27:04Z,6.2,budget_variance_analysis,0.85,url_route_anchor,url:/leave-applications;doc:shinkuitorihikisaki_touroku;doc:getsujitsu_teigaku_torihikisaki_ichiran,scr_smart_1782930417773_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,budget_variance_analysis,Confirmed Excel analysis of getsujitsu_teigaku_torihikisaki_ichiran ledger variance.
AUDIT-B-034,ses_20260701-181913-SIDDHIGUPTAB00B,user_b_02,2026-07-01T18:29:14Z,2026-07-01T18:29:29Z,14.4,payroll_deduction_adjustment,0.75,document_context,title:給与;doc:nyusha_checklist,scr_smart_1782930554847_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED_WITH_REMARKS,payroll_deduction_adjustment,Boundary confirmed via window title change; subtle background Slack notification interleaved.
AUDIT-B-035,ses_20260701-182634-NEELA9BAF,user_b_03,2026-07-01T18:26:34Z,2026-07-01T18:26:57Z,23.5,expense_settlement_approval,0.85,url_route_anchor,title:精算確認メモ;url:/social-insurance,scr_smart_1782930399124_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,expense_settlement_approval,Confirmed expense_settlement_approval route navigation and corresponding document checklist verification.
AUDIT-B-036,ses_20260701-183232-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:32:54Z,2026-07-01T18:33:18Z,23.8,payroll_deduction_adjustment,0.95,dom_action_anchor,url:/payroll-items;title:給与;button:pi-note;button:btn-pi-ok;title:精算確認メモ,scr_smart_1782930773941_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,payroll_deduction_adjustment,Verified UI interaction on #/payroll-items; Word policy guideline gyomu_itaku_kyuuyo_kitei cross-referenced.
AUDIT-B-037,ses_20260701-183232-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:33:50Z,2026-07-01T18:34:30Z,39.9,inventory_order_management,0.6,window_context,title:受発注在庫管理システム;title:精算確認メモ;title:在庫調整メモ,scr_smart_1782930830475_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CORRECTED,inventory_order_management,Boundary trimmed: initial 3 seconds were idle desktop transition.
AUDIT-B-038,ses_20260701-184201-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:42:28Z,2026-07-01T18:43:30Z,62.1,onboarding_verification,0.81,document_context,title:給与;doc:nyusha_checklist;url:/onboarding;doc:gyomu_itaku_ukeire;button:ob-note,scr_smart_1782931348201_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
AUDIT-B-039,ses_20260701-184201-LAPTOP-76QMG9DE,user_b_04,2026-07-01T18:48:27Z,2026-07-01T18:50:28Z,121.1,leave_application_processing,0.82,dom_action_anchor,url:/leave-applications;button:la-note;button:btn-la-ok;doc:settai_keihi_kitei;doc:gyomu_itaku_keihi_kitei;title:受発注在庫管理システム;doc:keiyaku_kaijo_tetsuzuki;doc:shinkui_keiyaku,scr_smart_1782931707262_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,leave_application_processing,Confirmed leave_application_processing route navigation and corresponding document checklist verification.
AUDIT-B-040,ses_20260701-190250-NEELA9BAF,user_b_03,2026-07-01T19:08:40Z,2026-07-01T19:08:51Z,10.8,onboarding_verification,0.75,document_context,title:給与;doc:nyusha_checklist,scr_smart_1782932920816_monitor_1_post.jpg,Shuvrodip Das (Lead FDE),CONFIRMED,onboarding_verification,Confirmed onboarding_verification route navigation and corresponding document checklist verification.
